,Depth_m,Age_ka,Sample_label,Depth_mcd,CaCO3,Depth_group
0,20.43,829,"177-1090E-3H-2,73-74",27.14,86.189,Shallow
1,20.47,830,"177-1090E-3H-2,77-78",27.18,82.309,Shallow
2,20.51,830,"177-1090E-3H-2,81-82",27.22,81.27,Shallow
3,20.55,831,"177-1090E-3H-2,85-86",27.26,74.991,Shallow
4,20.59,832,"177-1090E-3H-2,89-90",27.3,72.752,Shallow
5,20.63,833,"177-1090E-3H-2,93-94",27.34,77.465,Shallow
6,20.67,834,"177-1090E-3H-2,97-98",27.38,79.733,Shallow
7,20.71,835,"177-1090E-3H-2,101-102",27.42,79.316,Shallow
8,20.75,836,"177-1090E-3H-2,105-106",27.46,73.138,Shallow
9,20.79,836,"177-1090E-3H-2,109-110",27.5,74.774,Shallow
10,20.83,837,"177-1090E-3H-2,113-114",27.54,79.463,Shallow
11,20.87,838,"177-1090E-3H-2,117-118",27.58,75.68,Shallow
12,20.91,839,"177-1090E-3H-2,121-122",27.62,80.177,Shallow
13,20.95,840,"177-1090E-3H-2,125-126",27.66,79.355,Shallow
14,20.99,841,"177-1090E-3H-2,129-130",27.7,83.026,Shallow
15,21.03,842,"177-1090E-3H-2,133-134",27.74,83.487,Shallow
16,21.07,843,"177-1090E-3H-2,137-138",27.78,84.331,Shallow
17,21.11,843,"177-1090E-3H-2,141-142",27.82,77.949,Shallow
18,21.15,844,"177-1090E-3H-2,145-146",27.86,78.724,Shallow
19,21.17,845,"177-1090E-3H-2,147-148",27.88,77.662,Shallow
20,21.25,846,"177-1090E-3H-3,5-6",27.96,81.81,Shallow
21,21.29,847,"177-1090E-3H-3,9-10",28.0,81.617,Shallow
22,21.33,848,"177-1090E-3H-3,13-14",28.04,83.774,Shallow
23,21.37,849,"177-1090E-3H-3,17-18",28.08,84.23,Shallow
24,21.41,850,"177-1090E-3H-3,21-22",28.12,82.496,Shallow
25,21.45,851,"177-1090E-3H-3,25-26",28.16,82.181,Shallow
26,21.49,852,"177-1090E-3H-3,29-30",28.2,81.705,Shallow
27,21.53,853,"177-1090E-3H-3,33-34",28.24,81.905,Shallow
28,21.57,853,"177-1090E-3H-3,37-38",28.28,82.201,Shallow
29,21.61,854,"177-1090E-3H-3,41-42",28.32,78.615,Shallow
30,21.65,855,"177-1090E-3H-3,45-46",28.36,71.556,Shallow
31,21.69,856,"177-1090E-3H-3,49-50",28.4,66.443,Shallow
32,21.73,857,"177-1090E-3H-3,53-54",28.44,59.682,Shallow
33,21.77,858,"177-1090E-3H-3,57-58",28.48,55.294,Shallow
34,21.81,859,"177-1090E-3H-3,61-62",28.52,56.379,Shallow
35,21.85,859,"177-1090E-3H-3,65-66",28.56,53.213,Shallow
36,21.89,860,"177-1090E-3H-3,69-70",28.6,59.539,Shallow
37,21.93,861,"177-1090E-3H-3,73-74",28.64,65.916,Shallow
38,21.97,862,"177-1090E-3H-3,77-78",28.68,61.929,Mid1
39,22.01,863,"177-1090E-3H-3,81-82",28.72,61.808,Mid1
40,22.05,864,"177-1090E-3H-3,85-86",28.76,60.05,Mid1
41,22.09,865,"177-1090E-3H-3,89-90",28.8,58.709,Mid1
42,22.13,865,"177-1090E-3H-3,93-94",28.84,59.499,Mid1
43,22.17,866,"177-1090E-3H-3,97-98",28.88,62.152,Mid1
44,22.21,867,"177-1090E-3H-3,101-102",28.92,58.408,Mid1
45,22.25,868,"177-1090E-3H-3,105-106",28.96,57.727,Mid1
46,22.29,869,"177-1090E-3H-3,109-110",29.0,58.698,Mid1
47,22.33,870,"177-1090E-3H-3,113-114",29.04,55.247,Mid1
48,22.37,871,"177-1090E-3H-3,117-118",29.08,63.323,Mid1
49,22.41,872,"177-1090E-3H-3,121-122",29.12,71.347,Mid1
50,22.45,872,"177-1090E-3H-3,125-126",29.16,73.928,Mid1
51,22.49,873,"177-1090E-3H-3,129-130",29.2,71.264,Mid1
52,22.53,874,"177-1090E-3H-3,133-134",29.24,68.229,Mid1
