Ord No (sample number),Poros [% vol],k [W/m/K] (unsaturated),k [W/m/K] (saturated),Vp [m/s] (unsaturated),Vp [m/s] (saturated),Rock,Country,Area (region),Area (location),Stratigraphy (Chronostratigraphy)
1,,2.57,,2850,,Fine sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
2,3.10,2.58,,4640,,Fine sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
3,3.94,3.09,,5040,,Fine sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
4,6.05,2.28,,4560,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
5,6.33,2.34,,4550,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
6,3.63,2.57,,3580,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
7,5.99,2.58,,4330,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
8,3.43,2.66,,3100,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
9,7.36,2.72,,4440,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
10,5.19,2.83,,4710,,Fine sandstone,Germany,Mainz Basin,Altenglan,Permo-Carboniferous (Rotliegend)
11,12.07,2.58,,3250,,Fine sandstone,Germany,Mainz Basin,Erzweiler,Permo-Carboniferous (Rotliegend)
12,12.32,3.37,,3910,,Fine sandstone,Germany,Mainz Basin,Essweiler,Permo-Carboniferous (Rotliegend)
13,12.59,3.59,,3930,,Fine sandstone,Germany,Mainz Basin,Essweiler,Permo-Carboniferous (Rotliegend)
14,17.16,2.20,3.59,2010,2930,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
15,18.13,2.26,3.65,2840,3280,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
16,17.99,2.27,,2610,,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
17,18.04,2.28,3.56,1810,3130,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
18,17.58,2.37,3.77,2790,3160,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
19,17.45,2.39,3.62,3010,3370,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
20,17.64,2.54,,3260,,Fine sandstone,Germany,Mainz Basin,Hochstätten,Permo-Carboniferous (Rotliegend)
21,23.51,1.68,,2510,,Fine sandstone,Germany,Mainz Basin,Kreimbach-Kaulbach,Permo-Carboniferous (Rotliegend)
22,19.41,1.80,,2570,,Fine sandstone,Germany,Mainz Basin,Kreimbach-Kaulbach,Permo-Carboniferous (Rotliegend)
23,8.85,1.98,,2630,,Fine sandstone,Germany,Mainz Basin,Kreimbach-Kaulbach,Permo-Carboniferous (Rotliegend)
24,8.16,2.05,,3450,,Fine sandstone,Germany,Mainz Basin,Kreimbach-Kaulbach,Permo-Carboniferous (Rotliegend)
25,9.25,2.20,,3610,,Fine sandstone,Germany,Mainz Basin,Kreimbach-Kaulbach,Permo-Carboniferous (Rotliegend)
26,11.23,2.05,3.09,2690,3300,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
27,11.59,2.05,,2250,,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
28,12.38,2.08,3.24,2770,3320,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
29,12.36,2.11,3.35,2540,3360,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
30,13.81,2.11,3.20,2810,3380,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
31,12.25,2.14,3.18,3260,3530,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
32,12.52,2.17,3.46,3500,3820,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
33,12.46,2.18,3.35,3320,3680,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
34,12.17,2.25,3.21,3310,3780,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
35,12.72,2.29,3.37,3440,3600,Fine sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
36,19.52,2.01,,2980,,Fine sandstone,Germany,Mainz Basin,Odernheim,Permo-Carboniferous (Rotliegend)
37,19.39,2.20,,3270,,Fine sandstone,Germany,Mainz Basin,Odernheim,Permo-Carboniferous (Rotliegend)
38,19.42,2.25,,3460,,Fine sandstone,Germany,Mainz Basin,Odernheim,Permo-Carboniferous (Rotliegend)
39,15.22,1.48,,2330,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
40,15.44,2.00,,3040,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
41,12.75,2.06,,3130,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
42,13.48,2.19,,3010,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
43,,2.22,,2730,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
44,13.62,2.31,,2890,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
45,13.93,2.37,,2600,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
46,12.84,2.44,,2740,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
47,12.49,2.47,,3230,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
48,4.76,2.49,3.23,3000,5740,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
49,7.46,2.54,3.32,4630,5740,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
50,4.20,2.68,,3400,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
51,4.42,2.69,3.36,4330,5460,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
52,5.07,2.69,,3200,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
53,5.90,2.73,3.36,3500,5630,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
54,6.59,2.77,3.47,4740,5960,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
55,2.44,2.78,,2950,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
56,6.43,2.79,,4560,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
57,6.70,2.79,3.49,4200,5710,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
58,7.86,2.80,3.46,4000,5720,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
59,5.27,2.88,3.50,4260,4980,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
60,6.38,3.01,3.61,4940,6310,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
61,6.94,3.06,,4030,,Fine sandstone,Germany,Mainz Basin,,Permo-Carboniferous (Rotliegend)
62,,2.39,,2710,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
63,,2.40,,2730,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
64,,2.41,,2650,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
65,,2.49,,2630,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
66,,2.56,,2790,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
67,,2.60,,2720,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
68,,2.61,,2850,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
69,,2.63,,2600,,Fine sandstone,Germany,Odenwald,Miltenberg,Triassic (Buntsandstein)
70,,2.54,,2640,,Fine sandstone,Germany,Schwarzwald,Altensteig,Triassic (Buntsandstein)
71,,2.71,,2830,,Fine sandstone,Germany,Schwarzwald,Altensteig,Triassic (Buntsandstein)
72,,2.38,,3450,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
73,,2.51,,3680,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
74,,2.53,,3820,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
75,,2.54,,3510,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
76,,2.61,,3550,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
77,,2.97,,3660,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
78,,2.98,,3300,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
79,,3.09,,3680,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
80,,3.16,,3630,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
81,,3.33,,3540,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
82,,3.37,,3580,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
83,,3.44,,3670,,Fine sandstone,Germany,South German Scarplands,Stuttgart,Triassic (Keuper)
84,6.84,2.66,,3770,,Fine sandstone,Germany,Spessart,Sterbfritz,Triassic (Buntsandstein)
85,5.77,3.11,,3620,,Fine sandstone,Germany,Spessart,Sterbfritz,Triassic (Buntsandstein)
86,5.96,3.25,,3930,,Fine sandstone,Germany,Spessart,Sterbfritz,Triassic (Buntsandstein)
87,15.22,1.40,,1420,,Fine sandstone,Germany,Wetterau,,Permo-Carboniferous (Rotliegend)
88,19.28,1.69,,2490,,Fine sandstone,Germany,Wetterau,,Permo-Carboniferous (Rotliegend)
89,19.16,1.77,,2880,,Fine sandstone,Germany,Wetterau,,Permo-Carboniferous (Rotliegend)
90,,2.14,,2760,,Fine sandstone,Germany,Wetterau,,Permo-Carboniferous (Rotliegend)
91,,2.52,,2820,,Fine sandstone,Germany,Wetterau,,Permo-Carboniferous (Rotliegend)
92,14.63,2.19,,2750,,Medium sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
93,14.80,2.31,,2650,,Medium sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
94,14.10,2.38,,3140,,Medium sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
95,14.80,2.42,,3160,,Medium sandstone,Germany,Mainz Basin,Alsenz,Permo-Carboniferous (Rotliegend)
96,20.70,1.89,,2520,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
97,20.99,1.89,,2470,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
98,,1.91,,2650,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
99,18.96,1.93,,2730,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
100,19.38,1.96,,2330,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
101,19.38,1.96,,2970,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
102,17.15,1.97,,3000,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
103,18.67,1.98,,2900,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
104,17.50,2.04,,3030,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
105,18.96,2.05,,2500,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
106,,2.05,,2600,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
107,,2.08,,3000,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
108,17.58,2.09,,2940,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
109,17.72,2.17,,2960,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
110,14.61,2.23,,2710,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
111,8.23,2.31,,3840,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
112,9.37,2.33,,3650,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
113,9.37,2.33,,3000,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
114,14.34,2.38,,2900,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
115,8.51,2.39,,3930,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
116,12.04,2.39,,3310,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
117,12.97,2.42,,3810,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
118,8.40,2.49,,3560,,Medium sandstone,Germany,Mainz Basin,Bad Kreuznach,Permo-Carboniferous (Rotliegend)
119,7.88,1.95,,2320,,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
120,7.56,2.51,3.35,2550,4820,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
121,4.12,2.92,3.82,3240,5380,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
122,3.03,2.93,3.69,2990,5770,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
123,3.65,2.94,3.58,3110,5930,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
124,4.25,2.98,3.78,3150,6170,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
125,4.63,3.00,3.79,2940,5640,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
126,3.36,3.06,3.67,3170,6140,Medium sandstone,Germany,Mainz Basin,Cronenberg,Permo-Carboniferous (Rotliegend)
127,15.73,2.03,,2990,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
128,14.03,2.15,,2440,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
129,15.05,2.24,3.52,2590,4070,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
130,16.48,2.24,,2280,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
131,14.05,2.25,,2620,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
132,15.34,2.25,3.55,2350,3990,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
133,15.05,2.30,,2770,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
134,16.70,2.30,3.59,2430,4170,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
135,17.88,2.30,3.66,2430,4310,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
136,16.33,2.31,,2810,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
137,16.50,2.31,,2920,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
138,16.36,2.33,,3050,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
139,16.84,2.33,,2870,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
140,16.53,2.34,3.66,2650,4260,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
141,16.33,2.36,3.64,2340,4070,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
142,14.44,2.38,,2760,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
143,16.84,2.39,3.57,2390,4040,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
144,16.62,2.40,3.66,2790,4230,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
145,14.45,2.43,,2880,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
146,13.86,2.44,,2860,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
147,11.90,2.51,,2980,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
148,12.85,2.52,,3860,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
149,12.71,2.53,,3800,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
150,14.09,2.55,,3390,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
151,13.80,2.60,,3710,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
152,15.36,2.64,,3850,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
153,14.66,2.69,,3580,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
154,14.24,2.71,,3510,,Medium sandstone,Germany,Mainz Basin,Lauterecken,Permo-Carboniferous (Rotliegend)
